# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr1	20063864	20113610	-	hsa_circ_0010410	49746	1364	Hepg2, Gm12878, Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_181719	TMCO4	Salzman2013
chr11	43428687	43429127	+	hsa_circ_0021778	440	303	K562, Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018259	TTC17	Salzman2013
chr10	93586773	93596755	+	hsa_circ_0019106	9982	732	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_025235	TNKS2	Salzman2013
chr1	19428013	19500941	-	hsa_circ_0010262	72928	10170	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020765	UBR4	Salzman2013
chr7	107580433	107596075	-	hsa_circ_0081920	15642	1071	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002291	LAMB1	Salzman2013
chrX	153587613	153596106	-	hsa_circ_0091974	8493	3681	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001110556	FLNA	Salzman2013
chr4	6998051	7006651	+	hsa_circ_0003201	8600	389	Hs68_RNase, Hs68_control, K562, Helas3	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020773	TBC1D14	Jeck2013, Salzman2013
chr17	72769034	72771846	-	hsa_circ_0045565	2812	343	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_015654	NAT9	Salzman2013
chr16	30486626	30495584	+	hsa_circ_0039040	8958	842	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002209	ITGAL	Salzman2013
chr18	39637846	39647477	+	hsa_circ_0047499	9631	386	Nhek, K562, Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002647	PIK3C3	Salzman2013
chr3	185632357	185638975	-	hsa_circ_0068418	6618	3374	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_004593	TRA2B	Salzman2013
chr12	7061145	7070479	+	hsa_circ_0025296	9334	2016	Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_080549	PTPN6	Salzman2013
chr12	49424675	49436428	-	hsa_circ_0026093	11753	7889	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003482	MLL2	Salzman2013
chr1	109440580	109476957	+	hsa_circ_0013391	36377	6036	K562	NA	ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_013296	GPSM2	Salzman2013
chr4	1006257	1020686	+	hsa_circ_0068829	14429	3082	Hmec	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_001004356	FGFRL1	Salzman2013
chr14	106331871	107054726	-	hsa_circ_0033881	722855	722157	Gm12878	LINE	ALT_ACCEPTOR, ALT_DONOR, downstream_end, ncRNA, OVERLAPTX, OVEXON, upstream_start	NR_002224	ADAM6	Salzman2013
chr10	76978820	76980728	+	hsa_circ_0018911	1908	434	Nhek, K562, Helas3, Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001184783	VDAC2	Salzman2013
chr9	20360739	20365742	-	hsa_circ_0086490	5003	306	Hepg2, Gm12878, Bj, Ag04450, A549, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_004529	MLLT3	Salzman2013
chr1	52231493	52231653	+	hsa_circ_0012464	160	160	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_148909	OSBPL9	Salzman2013
chr6	165792682	165957056	-	hsa_circ_0078634	164374	1918	Helas3	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_045597	PDE10A	Salzman2013
chr1	145584481	145584615	+	hsa_circ_0013902	134	134	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006099	PIAS3	Salzman2013
chr10	99190711	99193198	+	hsa_circ_0019340	2487	1268	Nhek, K562, H1hesc, Gm12878, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_002629	PGAM1	Salzman2013
chr6	151186814	151220136	+	hsa_circ_0078266	33322	1065	H1hesc, Bj, Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_001242769	MTHFD1L	Salzman2013
chr1	167944067	167974031	+	hsa_circ_0015121	29964	1126	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001198956	DCAF6	Salzman2013
chr6	43479564	43480612	-	hsa_circ_0076532	1048	727	A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_015388	YIPF3	Salzman2013
chr10	94225432	94268647	-	hsa_circ_0019154	43215	1591	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_004969	IDE	Salzman2013
chr9	37305540	37354821	+	hsa_circ_0087056	49281	418	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_032226	ZCCHC7	Salzman2013
chr17	27809214	27829741	+	hsa_circ_0042766	20527	775	Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020791	TAOK1	Salzman2013
chr3	13540012	13544480	+	hsa_circ_0064415	4468	280	Nhek, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024827	HDAC11	Salzman2013
chr9	6792971	6814745	+	hsa_circ_0086324	21774	452	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_015061	KDM4C	Salzman2013
chr19	8160258	8203448	-	hsa_circ_0049031	43190	4920	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032447	FBN3	Salzman2013
chr1	150547026	150552214	-	hsa_circ_0014034	5188	4085	Nhek, K562, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_021960	MCL1	Salzman2013
chr17_ctg5_hap1	739900	752071	+	hsa_circ_0046636	12171	693	Hepg2, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001193466	KIAA1267	Salzman2013
chr7	5941287	5958531	+	hsa_circ_0079305	17244	598	Bj, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015622	CCZ1	Salzman2013
chr6	110943290	110953364	-	hsa_circ_0077622	10074	596	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015076	CDK19	Salzman2013
chr3	14174365	14180797	+	hsa_circ_0064420	6432	558	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024334	TMEM43	Salzman2013
chr4	121675707	121737729	-	hsa_circ_0070817	62022	880	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_018699	PRDM5	Salzman2013
chr15	50896143	50905026	-	hsa_circ_0035235	8883	2137	Nhek	NA	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_017672	TRPM7	Salzman2013
chr9	97563038	97563284	+	hsa_circ_0087590	246	246	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001193331	C9orf3	Salzman2013
chr15	42531867	42536365	-	hsa_circ_0034801	4498	180	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015497	TMEM87A	Salzman2013
chr16	29819550	29821085	+	hsa_circ_0038936	1535	461	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001042539	MAZ	Salzman2013
chrX	24084114	24096927	+	hsa_circ_0090120	12813	2672	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001415	EIF2S3	Salzman2013
chr4	141541935	141545542	-	hsa_circ_0071004	3607	2315	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_015130	TBC1D9	Salzman2013
chr18	48434432	48458730	+	hsa_circ_0047693	24298	1309	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002396	ME2	Salzman2013
chr7	151917607	151921701	-	hsa_circ_0005134	4094	736	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_170606	MLL3	Jeck2013
chrX	63568539	63579407	-	hsa_circ_0090872	10868	708	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017677	MTMR8	Salzman2013
chr3	67546221	67568760	-	hsa_circ_0066487	22539	492	Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003848	SUCLG2	Salzman2013
chr11	113078554	113105885	+	hsa_circ_0024304	27331	1156	Hsmm	NA	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001242607	NCAM1	Salzman2013
chr5	93111864	93120205	-	hsa_circ_0006024	8341	202	Hs68_RNase, Hs68_control, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032042	FAM172A	Jeck2013, Salzman2013
chr2	32703702	32716625	+	hsa_circ_0053748	12923	1272	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016252	BIRC6	Salzman2013
chr9	80037994	80043952	-	hsa_circ_0087261	5958	1375	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_004297	GNA14	Salzman2013
chr20	5933069	5937875	+	hsa_circ_0059399	4806	442	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_182802	MCM8	Salzman2013
chr1	21024871	21036321	-	hsa_circ_0010431	11450	753	Nhek, H1hesc, Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020816	KIF17	Salzman2013
chr2	96956421	96963274	-	hsa_circ_0055665	6853	1350	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_014014	SNRNP200	Salzman2013
chr1	54518672	54519111	-	hsa_circ_0012635	439	439	Hepg2	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_004872	TMEM59	Salzman2013
chr20	61845215	61845295	-	hsa_circ_0061149	80	80	K562, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017798	YTHDF1	Salzman2013
chr19	53158813	53164096	-	hsa_circ_0052112	5283	209	K562, Bj	NA	ANNOTATED, coding, INTERNAL, OVEXON, UTR5	NM_001242531	ZNF83	Salzman2013
chr1	33794470	33815499	-	hsa_circ_0011477	21029	1169	Nhek, Hsmm, Ag04450, Nhlf, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_004427	PHC2	Salzman2013
chr1	41578954	41618413	-	hsa_circ_0011946	39459	782	A549, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001031694	SCMH1	Salzman2013
chr1	44423648	44426934	+	hsa_circ_0012117	3286	804	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014652	IPO13	Salzman2013
chr7	959604	966280	-	hsa_circ_0079091	6676	175	Hepg2, Helas3, Gm12878, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006869	ADAP1	Salzman2013
chr17	36614345	36642381	+	hsa_circ_0043337	28036	2923	Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001199417	ARHGAP23	Salzman2013
chr9	119065035	119106990	+	hsa_circ_0088236	41955	827	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002581	PAPPA	Salzman2013
chr16	4382215	4385194	+	hsa_circ_0037693	2979	722	Gm12878	NA	ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5	NM_032575	GLIS2	Salzman2013
chr8	142264087	142264728	-	hsa_circ_0001829	641	641	cd_19, neutr	None	ALT_DONOR, downstream_end, ncRNA	TCONS_00015535	TCONS_00015535	Memczak2013
chr8	21849378	21857185	+	hsa_circ_0083556	7807	741	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015024	XPO7	Salzman2013
chrX	19389076	19426743	-	hsa_circ_0090020	37667	2994	Gm12878	SINE	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVERLAPTX, OVEXON	NM_001001671	MAP3K15	Salzman2013
chr16	70287616	70302282	-	hsa_circ_0040176	14666	1645	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001605	AARS	Salzman2013
chr7	148963425	148964313	+	hsa_circ_0082864	888	649	Helas3, H1hesc, Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001195220	ZNF783	Salzman2013
chr12	58005217	58008800	+	hsa_circ_0027306	3583	1420	Bj, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_182947	ARHGEF25	Salzman2013
chr16	30899115	30899311	-	hsa_circ_0039118	196	196	Huvec, Hepg2, Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_004765	BCL7C	Salzman2013
chr17	41584370	41604164	+	hsa_circ_0043990	19794	4884	Ag04450	NA	ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_004941	DHX8	Salzman2013
chr8	28669843	28669978	-	hsa_circ_0083814	135	135	K562, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018250	INTS9	Salzman2013
chr4	103730828	103747793	-	hsa_circ_0070546	16965	248	Hepg2, Gm12878, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_003340	UBE2D3	Salzman2013
chr15	99451913	99467913	+	hsa_circ_0037032	16000	1535	Nhek, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000875	IGF1R	Salzman2013
chr1	7839685	7841492	+	hsa_circ_0009550	1807	1807	Nhek, K562, Huvec, Hepg2, Helas3, Gm12878, Bj, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_004781	VAMP3	Salzman2013
chr3	128973827	128973920	+	hsa_circ_0067268	93	93	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016128	COPG	Salzman2013
chr11	130274817	130282008	-	hsa_circ_0024887	7191	2252	H1hesc	DNA	ALT_ACCEPTOR, CDS, coding, intronic, OVCODE, OVEXON, UTR3	NM_007037	ADAMTS8	Salzman2013
chr1	155408117	155429689	-	hsa_circ_0003247	21572	844	Hs68_RNase, Hs68_control, Nhek, K562, Hsmm, Hepg2, H1hesc, Gm12878, Bj, Ag04450, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018489	ASH1L	Jeck2013, Salzman2013
chr14	20871535	20874559	-	hsa_circ_0005721	3024	699	Hs68_RNase, Hs68_control, Nhek, Hepg2, Bj, Ag04450	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_007110	TEP1	Jeck2013, Salzman2013
chr5	56531792	56545403	+	hsa_circ_0072545	13611	561	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022913	GPBP1	Salzman2013
chr5	149823791	149823916	-	hsa_circ_0074533	125	125	A549, Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001025071	RPS14	Salzman2013
chr9	100000707	100053184	+	hsa_circ_0087655	52477	975	K562, H1hesc	NA	ANNOTATED, ncRNA, OVERLAPTX, OVEXON	NR_036528	BDAG1	Salzman2013
chr2	183582667	183616512	+	hsa_circ_0057254	33845	1580	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_018981	DNAJC10	Salzman2013
chr11	77386080	77404656	-	hsa_circ_0023701	18576	847	K562, Hsmm	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_016578	RSF1	Salzman2013
chr17	80901697	80919057	-	hsa_circ_0046597	17360	738	Helas3	NA	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001009905	B3GNTL1	Salzman2013
chr15	91512676	91512853	-	hsa_circ_0036916	177	177	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003981	PRC1	Salzman2013
chr4	40825660	41067690	-	hsa_circ_0069557	242030	2080	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_004307	APBB2	Salzman2013
chr8	48748898	48749980	-	hsa_circ_0084318	1082	398	K562, Helas3, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006904	PRKDC	Salzman2013
chr17	74523439	74527224	-	hsa_circ_0045814	3785	1418	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_134268	CYGB	Salzman2013
chr9	95030455	95032265	-	hsa_circ_0008367	1810	226	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013417	IARS	Jeck2013, Salzman2013
chr7	81331443	81336680	-	hsa_circ_0080913	5237	1099	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_000601	HGF	Salzman2013
chr1	155686796	155695810	+	hsa_circ_0014611	9014	427	Nhek, K562, Gm12878, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001199849	DAP3	Salzman2013
chr13	79945079	79946065	-	hsa_circ_0004205	986	307	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022118	RBM26	Jeck2013
chr19	12873816	12883726	-	hsa_circ_0049599	9910	2184	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_013312	HOOK2	Salzman2013
chr10	12123470	12143180	+	hsa_circ_0017728	19710	1742	Nhek, K562, Hepg2, H1hesc, Gm12878, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018706	DHTKD1	Salzman2013
chr1	46463395	46468555	+	hsa_circ_0012288	5160	155	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015112	MAST2	Salzman2013
chr17	63545637	63545778	-	hsa_circ_0045349	141	141	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004655	AXIN2	Salzman2013
chr11	62638216	62638309	+	hsa_circ_0022574	93	93	K562, Helas3, A549	SINE	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002394	SLC3A2	Salzman2013
chr9	71990651	72007370	+	hsa_circ_0087151	16719	1880	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_004816	FAM189A2	Salzman2013
chr3	142984063	143297565	-	hsa_circ_0067674	313502	2663	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_173653	SLC9A9	Salzman2013
chr17	28003837	28120955	-	hsa_circ_0042820	117118	470	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_033389	SSH2	Salzman2013
chr12	96076482	96131922	-	hsa_circ_0027790	55440	925	Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_021229	NTN4	Salzman2013
chr9	36352738	36357939	-	hsa_circ_0087017	5201	608	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_194328	RNF38	Salzman2013
chr3	179045348	179047516	+	hsa_circ_0068076	2168	251	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_016331	ZNF639	Salzman2013
chr5	137027973	137045545	-	hsa_circ_0074066	17572	392	Hepg2, H1hesc, Gm12878, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_017415	KLHL3	Salzman2013
chr6_cox_hap2	2063437	2063720	+	hsa_circ_0078805	283	283	Gm12878	NA	INTERGENIC	None	None	Salzman2013
chr20	34295041	34301018	-	hsa_circ_0060134	5977	211	K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_040722	RBM39	Salzman2013
chr17	35827557	35831241	+	hsa_circ_0043290	3684	249	K562, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001488	TADA2A	Salzman2013
chr1	27158937	27182211	+	hsa_circ_0011023	23274	2709	Hsmm, Hmec	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_032283	ZDHHC18	Salzman2013
chr1	709550	714068	-	hsa_circ_0009183	4518	515	Hepg2	NA	ANNOTATED, ncRNA, OVEXON	TCONS_l2_00002391	TCONS_l2_00002391	Salzman2013
chr7	151960100	151962294	-	hsa_circ_0002932	2194	287	Hs68_RNase, Hs68_control, K562, Ag04450	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_170606	MLL3	Jeck2013, Salzman2013
chr5	80381620	80422982	+	hsa_circ_0073191	41362	1525	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_006909	RASGRF2	Salzman2013
chrX	47511190	47516689	-	hsa_circ_0090455	5499	341	K562	NA	ANNOTATED, ncRNA, OVCODE, OVEXON	NR_045560	UXT	Salzman2013
chr2	187466747	187487157	+	hsa_circ_0057311	20410	223	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002210	ITGAV	Salzman2013
chr15	41988272	42000406	+	hsa_circ_0034735	12134	1361	K562, Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001164273	MGA	Salzman2013
chr9	115166274	115181238	+	hsa_circ_0003597	14964	581	Hs68_RNase, Hs68_control, K562, Hepg2, H1hesc, Gm12878, Ag04450	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032303	HSDL2	Jeck2013, Salzman2013
chr16	88801057	88851372	-	hsa_circ_0040880	50315	1997	Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON	NM_001142864	PIEZO1	Salzman2013
chr13	114538485	114541164	-	hsa_circ_0004375	2679	246	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000820	GAS6	Jeck2013
chr10	128822948	128926028	+	hsa_circ_0020449	103080	1395	H1hesc, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001380	DOCK1	Salzman2013
chr11	62360674	62364887	-	hsa_circ_0022454	4213	2086	Nhlf	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_004739	MTA2	Salzman2013
chr1	184023487	184041432	+	hsa_circ_0015646	17945	477	Nhek	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_023349	TSEN15	Salzman2013
chr12	112303053	112318331	+	hsa_circ_0028309	15278	624	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_139078	MAPKAPK5	Salzman2013
chr14	39543618	39556212	-	hsa_circ_0031725	12594	500	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006364	SEC23A	Salzman2013
chr19	434708	440932	-	hsa_circ_0048051	6224	642	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_012435	SHC2	Salzman2013
chr5	151176787	151179561	+	hsa_circ_0074676	2774	416	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005754	G3BP1	Salzman2013
chr6	101099435	101166127	-	hsa_circ_0077481	66692	1173	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006828	ASCC3	Salzman2013
chr16	57197912	57207781	-	hsa_circ_0006886	9869	562	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_024946	FAM192A	Jeck2013
chr3	193360763	193361894	+	hsa_circ_0068527	1131	378	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_130837	OPA1	Salzman2013
chr6	82936908	82941559	-	hsa_circ_0077184	4651	236	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015525	IBTK	Salzman2013
chr15	65445884	65459123	-	hsa_circ_0035880	13239	1346	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006660	CLPX	Salzman2013
chr19	1119009	1119620	-	hsa_circ_0048194	611	260	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014963	SBNO2	Salzman2013
chr5	6611067	6618137	-	hsa_circ_0071754	7070	411	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017755	NSUN2	Salzman2013
chr2	183841620	183853914	-	hsa_circ_0057282	12294	692	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_205842	NCKAP1	Salzman2013
chr13	42882589	42882745	+	hsa_circ_0030141	156	156	Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016248	AKAP11	Salzman2013
chr15	39882716	39883824	+	hsa_circ_0034517	1108	387	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003246	THBS1	Salzman2013
chr8	62555944	62596747	-	hsa_circ_0084611	40803	699	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032468	ASPH	Salzman2013
chr4	77691778	77692051	+	hsa_circ_0070051	273	273	H1hesc, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020859	SHROOM3	Salzman2013
